EventTitle,EventCode,EventDate,TrainingPhase,CompanyAssigned,SubmitterRole,SubmitterName,OverallRating,ObjectivesMet,InstructorEffectiveness,TimeManagement,ResourceAdequacy,Sustains,Improves,SafetyConcerns,HasSafetyConcern,AdditionalComments,SubmittedDate,ReviewedBy,ReviewStatus,ActionTaken
Warfighting Fundamentals Lecture,PI-019,2026-01-30,Phase I - Individual Skills,Alpha,SPC,SSgt Meyer,4 - Above Average,Most objectives met,,Too short,Some shortages,Well-organized flow from classroom to field application.,Could use more repetitions before the graded event.,,False,,2026-01-30T00:00:00,1stLt Thompson,Closed,
Warfighting Fundamentals Lecture,PI-019,2026-01-30,Phase I - Individual Skills,Alpha,Student,,3 - Average,Most objectives met,5 - Excellent,Too long,Fully resourced,"Supporting materials (handouts, map sheets) were well prepared.",Water and shade at the range were insufficient for the heat conditions.,,False,,2026-01-30T00:00:00,Capt Tran,Closed,
Warfighting Fundamentals Lecture,PI-019,2026-01-30,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,4 - Above Average,Significant dead time,Mostly adequate,Night iteration was challenging but realistic.,Should provide the reading material further in advance.,,False,Would benefit from a follow-up practical next week.,2026-02-01T00:00:00,Capt Tran,Closed,
Combat Marksmanship Program Day 2,PI-018,2026-01-29,Phase I - Individual Skills,Alpha,Instructor,GySgt Watkins,3 - Average,Most objectives met,,About right,Fully resourced,Peer leadership opportunities were well distributed.,Could use more repetitions before the graded event.,,False,Good event but needs more ammo allocation next time.,2026-01-29T00:00:00,Capt Bishop,Reviewed,
Combat Marksmanship Program Day 2,PI-018,2026-01-29,Phase I - Individual Skills,Alpha,SPC,Capt Lamb,1 - Ineffective,Few objectives met,,About right,Fully resourced,Excellent use of realistic scenarios that reinforced earlier lectures.,Could use more repetitions before the graded event.,,False,,2026-01-31T00:00:00,Capt Tran,Closed,
Combat Marksmanship Program Day 2,PI-018,2026-01-29,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,3 - Average,Too short,Mostly adequate,Peer leadership opportunities were well distributed.,Radio equipment had multiple deadlined items - need PMCS before the event.,,False,Best training event so far in the cycle.,2026-01-30T00:00:00,Capt Tran,Closed,
Combat Marksmanship Program Day 2,PI-018,2026-01-29,Phase I - Individual Skills,Alpha,Instructor,1stLt Thompson,3 - Average,All objectives met,,About right,Mostly adequate,Night iteration was challenging but realistic.,Radio equipment had multiple deadlined items - need PMCS before the event.,,False,,2026-01-31T00:00:00,Capt Tran,Reviewed,
Compass and Protractor Lab,PI-009,2026-01-15,Phase I - Individual Skills,Alpha,SPC,Capt Lamb,4 - Above Average,Most objectives met,,Significant dead time,Mostly adequate,AAR conducted at the end was very valuable for consolidating learning.,The timeline was too compressed - rushed through the last two objectives.,,False,,2026-01-15T00:00:00,Capt Tran,Closed,
Compass and Protractor Lab,PI-009,2026-01-15,Phase I - Individual Skills,Alpha,Instructor,Capt Lamb,3 - Average,Most objectives met,,About right,Some shortages,Peer leadership opportunities were well distributed.,Recommend adding a sand table exercise before going to the field.,,False,Recommend scheduling this earlier in the phase.,2026-01-17T00:00:00,1stLt Thompson,Reviewed,
Compass and Protractor Lab,PI-009,2026-01-15,Phase I - Individual Skills,Alpha,Student,,5 - Excellent,Most objectives met,4 - Above Average,Too long,Mostly adequate,Good progressive build from individual to team tasks.,Would benefit from more time on the practical application phase.,,False,,2026-01-17T00:00:00,1stLt Thompson,Reviewed,
